order_n,line_no,matrix,sku,description,size,color_code,color,ean,composition,quantity,unit_price,line_discount,amount,pvp,genere,made_in,fabric,tariff_no,wash,bleaching,ironing,dry_cleaning,tumble_dry,net_weight,gross_weight,collection,collection_no,item_category,item_group,launching,brand,product_line
SO25-03660,10000,B126AC099,B126AC09941102,Pickles The Dog Striped denim pants,4-5 Years,411,NAVY BLUE,8445782365237,100% Organic Cotton,1,38,0,38,95,BOY,PT,WOVEN,6203423100,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,395","0,403",KID_BABY,SS26M,PANTS,DENIM PANTS,Launching 1,B,KID
SO25-03660,20000,B126AC080,B126AC08041101,Pickles The Dog Striped denim skirt,2-3 Years,411,NAVY BLUE,8445782364087,100% Organic Cotton,1,34,0,34,85,GIRL,PT,WOVEN,6204520090,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,209","0,217",KID_BABY,SS26M,SKIRTS,SKORT,Launching 1,B,KID
SO25-03660,30000,B126AC080,B126AC08041102,Pickles The Dog Striped denim skirt,4-5 Years,411,NAVY BLUE,8445782364094,100% Organic Cotton,1,34,0,34,85,GIRL,PT,WOVEN,6204520090,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,209","0,217",KID_BABY,SS26M,SKIRTS,SKORT,Launching 1,B,KID
SO25-03660,40000,B126AC080,B126AC08041103,Pickles The Dog Striped denim skirt,6-7 Years,411,NAVY BLUE,8445782364100,100% Organic Cotton,1,34,0,34,85,GIRL,PT,WOVEN,6204520090,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,209","0,217",KID_BABY,SS26M,SKIRTS,SKORT,Launching 1,B,KID
SO25-03660,50000,B126AC080,B126AC08041104,Pickles The Dog Striped denim skirt,8-9 Years,411,NAVY BLUE,8445782364117,100% Organic Cotton,1,34,0,34,85,GIRL,PT,WOVEN,6204520090,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,209","0,217",KID_BABY,SS26M,SKIRTS,SKORT,Launching 1,B,KID
SO25-03660,60000,B126AC112,B126AC11242102,Bobo Choses Striped jumper,4-5 Years,421,BLUE,8445782366012,"50% Cotton, 50% Organic Cotton",1,34,0,34,85,BOY,ES,KNIT,6110209100,30 - Wash Cold-30°,00 - Do Not Bleach,00 - Do Not Iron,00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,291","0,295",KID_BABY,SS26M,JUMPER,ROUND NECK,Launching 1,B,KID
SO25-03660,70000,B126AC019,B126AC01919901,Rapid Radish oversized T-shirt,2-3 Years,199,OFFWHITE,8445782360423,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,107","0,115",KID_BABY,SS26M,T-SHIRT,LOOSE FIT,Launching 1,B,KID
SO25-03660,80000,B126AC019,B126AC01919902,Rapid Radish oversized T-shirt,4-5 Years,199,OFFWHITE,8445782360430,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,107","0,115",KID_BABY,SS26M,T-SHIRT,LOOSE FIT,Launching 1,B,KID
SO25-03660,90000,B126AC019,B126AC01919903,Rapid Radish oversized T-shirt,6-7 Years,199,OFFWHITE,8445782360447,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,107","0,115",KID_BABY,SS26M,T-SHIRT,LOOSE FIT,Launching 1,B,KID
SO25-03660,100000,B126AC019,B126AC01919904,Rapid Radish oversized T-shirt,8-9 Years,199,OFFWHITE,8445782360454,100% Organic Cotton,1,18,0,18,45,BOY,ES,KNIT,6109100010,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,107","0,115",KID_BABY,SS26M,T-SHIRT,LOOSE FIT,Launching 1,B,KID
SO25-03660,110000,B126AC047,B126AC04766101,Dog Friendship sweatshirt,2-3 Years,661,PINK,8445782362106,"66% Organic Cotton, 17% Recycled Cotton, 17% Cotton",1,"24,8",0,"24,8",62,GIRL,ES,KNIT,6110209900,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,276","0,284",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,120000,B126AC047,B126AC04766102,Dog Friendship sweatshirt,4-5 Years,661,PINK,8445782362113,"66% Organic Cotton, 17% Recycled Cotton, 17% Cotton",1,"24,8",0,"24,8",62,GIRL,ES,KNIT,6110209900,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,276","0,284",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,130000,B126AC047,B126AC04766103,Dog Friendship sweatshirt,6-7 Years,661,PINK,8445782362120,"66% Organic Cotton, 17% Recycled Cotton, 17% Cotton",1,"24,8",0,"24,8",62,GIRL,ES,KNIT,6110209900,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,276","0,284",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,140000,B126AC047,B126AC04766104,Dog Friendship sweatshirt,8-9 Years,661,PINK,8445782362137,"66% Organic Cotton, 17% Recycled Cotton, 17% Cotton",1,"24,8",0,"24,8",62,GIRL,ES,KNIT,6110209900,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,276","0,284",KID_BABY,SS26M,SWEATSHIRT,ROUND NECK,Launching 1,B,KID
SO25-03660,150000,B126AC076,B126AC07666101,Bobo Choses fleece skirt,2-3 Years,661,PINK,8445782363844,"17% Recycled Cotton, 17% Cotton, 66% Organic Cotton",1,20,0,20,50,GIRL,ES,KNIT,6104520000,30 - Wash Cold-30°,00 - Do Not Bleach,10 - Iron Low(*),00 - Do not Dry-clean,00 - Do Not Tumble Dry,"0,172","0,176",KID_BABY,SS26M,SKIRTS,MINI,Launching 1,B,KID
