"Order No.","Season","Account No.","Customer Name","Customer Order No.","Style No","Style Name","Color Code","Color Description","Barcode","Size","Qty (CU)","Currency","Wholesale Price","Total WSP Amount","Recommended Retail Price","RRP Currency","Brand","Sub-brand","Category","Sub-category","Type","Bill of material","Net Weight (kg)","Dimensions","Country (COO)","Customs Tariff No","Delivery window","Washing","Additional washing instructions","Cycle","Ironing","Drying","Drycleaning","Bleaching","Hardware care","Gender","Age grade","GOTS","GRS","OEKO-TEX No.","CE marked","CA marked","Package type","Packaging height (cm)","Packaging length (cm)","Packaging width (cm)"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502386","22","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.13","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","65","150","150"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502393","23","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.136","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","65","160","155"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502409","24","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.148","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","70","165","160"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502416","25","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.142","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","85","170","80"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502423","26","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.16","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","180","165"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502430","27","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.164","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","185","170"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502447","28","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.168","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","190","170"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502454","29","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.174","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","70","200","175"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502461","30","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.18","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","80","205","175"
"SO440600","01 2026","D01736","LPB sp. z o.o. / La Petite Bloom","","LW14740","Monty Sandals","2696","Tuscany rose multi mix","5715493502478","31","1","EUR","16","16","40","EUR","LIEWOOD","LIEWOOD WEAR","FOOTWEAR","FOOTWEAR","SANDALS","UPPER: 85% Spandex, 15% Polyester; OUTSOLE: 100% EVA","0.192","","China","6402200000","January 2026","","","","","","","","","UNISEX","N/A","","","","No","No","Polybag w/logo","85","215","180"
