Supplier;"Brend  ";"Product name (EN)";"Product name (PL)";"Order No.";Sku;"our Sku ";"Supplier Product ID";"EAN / Barcode";Item;"Qty (Quantity per Unit)";item_category;"item SubCategory";"Написаанно на этикетке товара ";"Номер в EXL";Season/Collection;Collection;Gender;"Product Line";"Color Code";"Color Description EN";"Color Description PL";"Общая колонка размеров";"Size Xs-Xl";"Age Size ";"Height Size";"Socks Size";"Hats Size";"Shoe size";"Wholesale Price EUR";"Recommended Retail Price EUR";"Wholesale Price PLN ";"Recommended Retail Price PLN";"Basis Unit";"Basis Unit Quantity";"Diameter ";"Weight KG";"Height CM";"Width CM";"Length CM";"Description EN";"Description PL";"Images 1";"Images 2";"Images 3";"Images 5";"Images 6";"Images 7";"Images 8";"Images 9";"Images 10";Warehouse
;LIEWOOD;"Monty Sandals";;SO440600;LW14740;;LW14740;5715493502386;;1;SANDALS;;;;"01 2026";;UNISEX;;2696;"Tuscany rose multi mix";;;;22;;;;;16;40;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Danny Cap";;SO440600;LW17683;;LW17683;5715493505509;;3;HATS/CAP;;;;"01 2026";;UNISEX;;1031;Riverside;;;;55;;;;;10.8;27;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Amelia Anglaise Sun Hat";;SO440600;LW17684;;LW17684;5715335241077;;4;HATS/CAP;;;;"01 2026";;GIRL;;5060;Sandy;;;;"3/4 Y";;;;;12.4;31;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Gorm Reversible Sun Hat w Ears";;SO440600;LW17698;;LW17698;5715493253585;;4;HATS/CAP;;;;"01 2026";;UNISEX;;1989;"Peach Seashell / Pale tuscany";;;;"9/12 M";;;;;11.6;29;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Kornelia Printed Pool Small";;SO440600;LW18541;;LW18541;5715493240479;;4;POOLS;;;;"01 2026";;UNISEX;;1835;"Cherries / Apple blossom";;;;"ONE SIZE";;;;;24;60;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Dove Swim Vest";;SO440600;LW19588;;LW19588;5715493369750;;2;"SWIM VEST";;;;"01 2026";;UNISEX;;1232;"Peach / Sea shell";;;;"15-19 KG";;;;;20;50;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Milas Sandals";;SO440600;LW19659;;LW19659;5715493419745;;1;SANDALS;;;;"01 2026";;UNISEX;;1064;"Whale blue mix";;;;29;;;;;12;30;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Lucinda Puzzle Box";;SO440600;LW19704;;LW19704;5715493437985;;8;"CREATIVE TOYS";;;;"01 2026";;UNISEX;;1499;"All together / Sandy";;;;"ONE SIZE";;;;;12.8;32;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Ghita Outdoor Adventure Kit";;SO440600;LW19709;;LW19709;5715493438029;;4;"GARDEN GAME";;;;"01 2026";;UNISEX;;2459;"Peppermint multi mix";;;;"ONE SIZE";;;;;12;30;;;;;;;;;;;;;;;;;;;;;
;LIEWOOD;"Desmond Basketball";;SO440600;LW19721;;LW19721;5715493422325;;8;"GARDEN GAME";;;;"01 2026";;UNISEX;;2450;"Peppermint multi mix";;;;"ONE SIZE";;;;;8.8;22;;;;;;;;;;;;;;;;;;;;;
