"Supplier","","НАША ТАБЛИЦА","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Поля которые могу  понадобавится :","Warehouse location"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","Supplier","Brend  ","Product name (EN)","Product name (PL)","Order No.","Sku","our Sku ","Supplier Product ID","EAN / Barcode","Item","Qty (Quantity per Unit)","item_category","item SubCategory","Написаанно на этикетке товара ","Номер в EXL","Season/Collection","Collection","Gender","Product Line","Color Code","Color Description EN","Color Description PL","Общая колонка размеров","Size Xs-Xl","Age Size ","Height Size","Socks Size","Hats Size","Shoe size","Wholesale Price EUR","Recommended Retail Price EUR","Wholesale Price PLN ","Recommended Retail Price PLN","Basis Unit","Basis Unit Quantity","Diameter ","Weight KG","Height CM","Width CM","Length CM","Description EN","Description PL","Images 1","Images 2","Images 3","Images 5","Images 6","Images 7","Images 8","Images 9","Images 10","","Warehouse"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","КАК ЗАПИСАННО У ПОСТАВЩИКА","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINI RODINI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Описание","","Brand","Display Name","","","НЕТ","","Art. no.","EAN","","Quantity","","Categoty","Name + Art. no. + variant name + Size + EAN","48","","","","","","Variant Name","","","","","Size","","","","Wholesale price - EUR","RRP - EUR","","","","","","","","","","","","","","","","","","","","","",""
"","Пример","","MINI RODINI","Planet emb nylon jacket - Chapter 1 - Limited Stock","","","","","26120149","7332754710472","","1","","Tops","Mini Rodini society sp ss tee  Red 116/122 ","","","","","","","Red","","","","","116/122","","","","14","35","","","","","","","","","","","","","","","","","","","","","",""
"BOBO CHOSES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Описание","","brand","description","","order_n","sku","","Matrix","ean","","quantity","","item_category","Matrix + size + color + Name + EAN","31","collection_no","","genere","","color_code","color","","","","size","","","","","unit_price","pvp","","","","","","","","","","description","","","","","","","","","","","",""
"","Пример","","B","Spring Letters cropped sweatshirt","","SO25-03660","B126AC16045104","","B126AC045","8445782381565","","1","","T-SHIRT","B126AC045  4-5 Years/ 041 . Spring Letters cropped sweatshirt  8445782361994","","SS26M","","BOY","KID ","451","LIGHT BLUE","","","","8-9 Years","","","","","18","45","","","","","","","","","","Rapid Radish oversized T-shirt","","","","","","","","","","","",""
"LIEWOOD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
